iter	Passed	Remaining
1324	86352	76576
1325	86413	76507
1326	86478	76442
1327	86537	76372
1328	86597	76302
1329	86654	76229
1330	86710	76156
1331	86770	76087
1332	86829	76016
1333	86886	75944
1334	86944	75872
1335	87000	75799
1336	87056	75726
1337	87118	75658
1338	87178	75589
1339	87239	75520
1340	87300	75452
1341	87364	75385
1342	87429	75321
1343	87490	75252
1344	87553	75185
1345	87614	75117
1346	87674	75047
1347	87742	74984
1348	87809	74920
1349	87872	74853
1350	87939	74790
1351	87999	74721
1352	88059	74652
1353	88116	74579
1354	88172	74507
1355	88233	74438
1356	88289	74366
1357	88346	74294
1358	88403	74222
1359	88461	74151
1360	88520	74081
1361	88581	74013
1362	88644	73946
1363	88707	73879
1364	88772	73814
1365	88831	73744
1366	88892	73675
1367	88961	73614
1368	89026	73549
1369	89086	73480
1370	89146	73410
1371	89205	73341
1372	89262	73269
1373	89320	73198
1374	89382	73131
1375	89457	73074
1376	89529	73015
1377	89600	72954
1378	89661	72886
1379	89719	72815
1380	89791	72756
1381	89858	72692
1382	89930	72633
1383	89995	72568
1384	90058	72501
1385	90122	72436
1386	90186	72370
1387	90251	72305
1388	90315	72239
1389	90380	72173
1390	90444	72108
1391	90502	72037
1392	90574	71978
1393	90642	71915
1394	90711	71853
1395	90768	71782
1396	90829	71714
1397	90889	71645
1398	90950	71576
1399	91015	71511
1400	91084	71450
1401	91145	71382
1402	91204	71312
1403	91261	71241
1404	91319	71170
1405	91383	71104
1406	91438	71032
1407	91505	70969
1408	91566	70900
1409	91626	70831
1410	91687	70763
1411	91750	70697
1412	91819	70635
1413	91886	70572
1414	91950	70506
1415	92023	70447
1416	92088	70382
1417	92155	70318
1418	92218	70252
1419	92278	70183
1420	92338	70114
1421	92399	70046
1422	92463	69980
1423	92521	69911
1424	92578	69839
1425	92632	69766
1426	92691	69697
1427	92754	69630
1428	92833	69576
1429	92905	69516
1430	92974	69454
1431	93066	69409
1432	93159	69366
1433	93221	69298
1434	93281	69229
1435	93347	69165
1436	93426	69111
1437	93491	69045
1438	93558	68982
1439	93631	68923
1440	93699	68860
1441	93760	68792
1442	93835	68734
1443	93896	68666
1444	93972	68609
1445	94049	68553
1446	94117	68490
1447	94184	68426
1448	94249	68362
1449	94328	68307
1450	94391	68240
1451	94473	68187
1452	94535	68119
1453	94603	68056
1454	94671	67994
1455	94729	67923
1456	94789	67855
1457	94848	67786
1458	94911	67719
1459	94974	67652
1460	95037	67586
1461	95107	67524
1462	95171	67458
1463	95230	67389
1464	95287	67319
1465	95350	67252
1466	95418	67189
1467	95487	67127
1468	95574	67077
1469	95655	67023
1470	95721	66959
1471	95788	66895
1472	95854	66831
